Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.4622E-05,0.022396,0.035752,0,0,0,0.2237,0.001358,1.139E-07,-1.5357E-07,0.0012656,4.9886E-05,0.00016835,0,0,0,0,0,0,package://xrrobot_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/base_link.STL,,身体-urdf-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Head_Yaw_link,0.00099935,0.034069,0.017518,0,0,0,0.020008,4.5406E-06,5.5818E-09,9.421E-09,2.5723E-06,-4.3346E-07,3.182E-06,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Head_Yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Head_Yaw_link.STL,,脖子-URDF-1,Origin_Head_Yaw_joint,基准轴9,Head_Yaw_joint,revolute,0,-0.11149,0.038026,1.5708,-0.0022105,0.004335,base_link,0,-0.89086,-0.45427,0,0,0,0,,,,,,,,
Head_Pitch_link,0.00050757,0.01521,0.014038,0,0,0,0.046867,4.8561E-05,-2.5812E-08,2.4004E-07,4.2536E-05,6.2297E-06,1.1693E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Head_Pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Head_Pitch_link.STL,,头部-urdf-1,Origin_Head_Pitch_joint,基准轴10,Head_Pitch_joint,revolute,0,0.044108,0.022492,0.04421,-0.00010192,0.00018941,Head_Yaw_link,-0.99999,0.0022105,-0.0043349,0,0,0,0,,,,,,,,
Shoulder_FL_link,0.046894,-0.022185,-0.0050405,0,0,0,0.058539,5.8271E-05,1.7661E-06,7.8155E-07,2.723E-05,-1.661E-05,3.6507E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_FL_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_FL_link.STL,,左大腿-URDF-1,Origin_Shoulder_FL_joint,基准轴1,Shoulder_FL_joint,revolute,0.013,-0.10196,0,1.4149,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Knee_FL_link,0.0084814,-0.029397,0.043987,0,0,0,0.015497,1.2745E-05,-9.1522E-09,1.405E-08,8.6681E-06,5.4591E-06,4.2696E-06,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_FL_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_FL_link.STL,,左小腿-urdf-1,Origin_Knee_FL_joint,基准轴2,Knee_FL_joint,revolute,0.051997,-0.070165,-0.039773,-0.47182,0,0,Shoulder_FL_link,1,0,0,0,0,0,0,,,,,,,,
Shoulder_FR_link,-0.0449236006183859,-0.0224986053538585,-0.00469599283447582,0,0,0,0.0556031458340423,5.81147928859559E-05,-1.76677707483314E-06,-7.786838038114E-07,2.70758799340584E-05,-1.65790587552092E-05,3.64475444620114E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_FR_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_FR_link.STL,,右前大腿-urdf-1,Origin_Shoulder_FR_joint,基准轴7,Shoulder_FR_joint,revolute,-0.016,-0.10196,0,1.4163,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Knee_FR_link,-0.0084817,-0.052906,-0.00022614,0,0,0,0.015497,1.2745E-05,1.6569E-08,-1.0757E-10,5.8413E-07,-1.068E-07,1.2353E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_FR_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_FR_link.STL,,右小腿-urdf-1,Origin_Knee_FR_joint,基准轴8,Knee_FR_joint,revolute,-0.048997,-0.070221,-0.039675,-1.4592,0,0,Shoulder_FR_link,-1,0,0,0,0,0,0,,,,,,,,
Shoulder_BR_link,-0.041045,-0.014386,0.0098853,0,0,0,0.071938,7.3852E-05,-1.8942E-06,4.3529E-07,2.6531E-05,-9.9592E-08,5.6669E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_BR_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_BR_link.STL,,右后大腿-urdf-1,Origin_Shoulder_BR_joint,基准轴5,Shoulder_BR_joint,revolute,-0.016,0.078042,0,2.058,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Knee_BR_link,-0.0084817,-0.052906,-0.00022614,0,0,0,0.015497,1.2745E-05,1.6568E-08,-1.075E-10,5.8413E-07,-1.068E-07,1.2353E-05,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_BR_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_BR_link.STL,,右小腿-urdf-2,Origin_Knee_BR_joint,基准轴6,Knee_BR_joint,revolute,-0.048997,-0.08,0.01025,-2.1009,0,0,Shoulder_BR_link,-1,0,0,0,0,0,0,,,,,,,,
Shoulder_BL_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_BL_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Shoulder_BL_link.STL,,左后大腿-urdf-1,Origin_Shoulder_BL_joint,基准轴3,Shoulder_BL_joint,revolute,0.016,0.078042,0,1.3383,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Knee_BL_link,0.0084814,-0.029397,0.043987,0,0,0,0.015497,1.2745E-05,-9.1524E-09,1.405E-08,8.6681E-06,5.4591E-06,4.2696E-06,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_BL_link.STL,1,1,1,1,0,0,0,0,0,0,package://xrrobot_urdf/meshes/Knee_BL_link.STL,,左小腿-urdf-2,Origin_Knee_BL_joint,基准轴4,Knee_BL_joint,revolute,0.048997,-0.066917,-0.045025,-0.39524,0,0,Shoulder_BL_link,1,0,0,0,0,0,0,,,,,,,,
